"CharacterSet","Total IDs","ID Size","Algorithm","Uncompressed","Compressed","Compressed&Encoded"
"Numbers","1000","2","Zip","2000","1013","1438"
"Numbers","1000","3","Zip","3000","1531","2188"
"Numbers","1000","4","Zip","4000","2028","2870"
"Numbers","1000","5","Zip","5000","2546","3634"
"Alphanumeric","1000","2","Zip","2000","1526","2156"
"Alphanumeric","1000","3","Zip","3000","2278","3264"
"Alphanumeric","1000","4","Zip","4000","3029","4224"
"Alphanumeric","1000","5","Zip","5000","3779","5338"
"AlphanumericSpecial","1000","2","Zip","2000","1539","2182"
"AlphanumericSpecial","1000","3","Zip","3000","2293","3252"
"AlphanumericSpecial","1000","4","Zip","4000","3048","4302"
"AlphanumericSpecial","1000","5","Zip","5000","3803","5402"
"AlphanumericAllSpecial","1000","2","Zip","2000","1601","2306"
"AlphanumericAllSpecial","1000","3","Zip","3000","2386","3466"
"AlphanumericAllSpecial","1000","4","Zip","4000","3175","4530"
"AlphanumericAllSpecial","1000","5","Zip","5000","3964","5684"
"Numbers","1000","2","LZ4","2000","2023","2716"
"Numbers","1000","3","LZ4","3000","3027","4052"
"Numbers","1000","4","LZ4","4000","4031","5398"
"Numbers","1000","5","LZ4","5000","5035","6750"
"Alphanumeric","1000","2","LZ4","2000","2023","2722"
"Alphanumeric","1000","3","LZ4","3000","3027","4064"
"Alphanumeric","1000","4","LZ4","4000","4031","5416"
"Alphanumeric","1000","5","LZ4","5000","5035","6770"
"AlphanumericSpecial","1000","2","LZ4","2000","2023","2722"
"AlphanumericSpecial","1000","3","LZ4","3000","3027","4064"
"AlphanumericSpecial","1000","4","LZ4","4000","4031","5416"
"AlphanumericSpecial","1000","5","LZ4","5000","5035","6770"
"AlphanumericAllSpecial","1000","2","LZ4","2000","2023","2740"
"AlphanumericAllSpecial","1000","3","LZ4","3000","3027","4106"
"AlphanumericAllSpecial","1000","4","LZ4","4000","4031","5448"
"AlphanumericAllSpecial","1000","5","LZ4","5000","5035","6792"
"Numbers","1000","2","GZip","2000","1025","1452"
"Numbers","1000","3","GZip","3000","1543","2188"
"Numbers","1000","4","GZip","4000","2040","2902"
"Numbers","1000","5","GZip","5000","2558","3602"
"Alphanumeric","1000","2","GZip","2000","1538","2188"
"Alphanumeric","1000","3","GZip","3000","2290","3232"
"Alphanumeric","1000","4","GZip","4000","3041","4270"
"Alphanumeric","1000","5","GZip","5000","3791","5304"
"AlphanumericSpecial","1000","2","GZip","2000","1551","2182"
"AlphanumericSpecial","1000","3","GZip","3000","2305","3286"
"AlphanumericSpecial","1000","4","GZip","4000","3060","4340"
"AlphanumericSpecial","1000","5","GZip","5000","3815","5454"
"AlphanumericAllSpecial","1000","2","GZip","2000","1613","2324"
"AlphanumericAllSpecial","1000","3","GZip","3000","2398","3472"
"AlphanumericAllSpecial","1000","4","GZip","4000","3187","4522"
"AlphanumericAllSpecial","1000","5","GZip","5000","3976","5706"
"Numbers","2000","2","Zip","4000","2038","2876"
"Numbers","2000","3","Zip","6000","3055","4332"
"Numbers","2000","4","Zip","8000","4042","5650"
"Numbers","2000","5","Zip","10000","5082","7102"
"Alphanumeric","2000","2","Zip","4000","3023","4258"
"Alphanumeric","2000","3","Zip","6000","4525","6420"
"Alphanumeric","2000","4","Zip","8000","6021","8554"
"Alphanumeric","2000","5","Zip","10000","7526","10662"
"AlphanumericSpecial","2000","2","Zip","4000","3049","4368"
"AlphanumericSpecial","2000","3","Zip","6000","4560","6430"
"AlphanumericSpecial","2000","4","Zip","8000","6070","8634"
"AlphanumericSpecial","2000","5","Zip","10000","7587","10698"
"AlphanumericAllSpecial","2000","2","Zip","4000","3174","4520"
"AlphanumericAllSpecial","2000","3","Zip","6000","4754","6862"
"AlphanumericAllSpecial","2000","4","Zip","8000","6330","9076"
"AlphanumericAllSpecial","2000","5","Zip","10000","7908","11450"
"Numbers","2000","2","LZ4","4000","4031","5402"
"Numbers","2000","3","LZ4","6000","6039","8082"
"Numbers","2000","4","LZ4","8000","8047","10788"
"Numbers","2000","5","LZ4","10000","10055","13478"
"Alphanumeric","2000","2","LZ4","4000","4031","5416"
"Alphanumeric","2000","3","LZ4","6000","6039","8112"
"Alphanumeric","2000","4","LZ4","8000","8047","10816"
"Alphanumeric","2000","5","LZ4","10000","10055","13512"
"AlphanumericSpecial","2000","2","LZ4","4000","4031","5416"
"AlphanumericSpecial","2000","3","LZ4","6000","6039","8112"
"AlphanumericSpecial","2000","4","LZ4","8000","8047","10816"
"AlphanumericSpecial","2000","5","LZ4","10000","10055","13512"
"AlphanumericAllSpecial","2000","2","LZ4","4000","4031","5440"
"AlphanumericAllSpecial","2000","3","LZ4","6000","6039","8176"
"AlphanumericAllSpecial","2000","4","LZ4","8000","8047","10880"
"AlphanumericAllSpecial","2000","5","LZ4","10000","10055","13576"
"Numbers","2000","2","GZip","4000","2050","2896"
"Numbers","2000","3","GZip","6000","3067","4334"
"Numbers","2000","4","GZip","8000","4054","5718"
